Timestamp,ENSEM_ENSAIA/Centrale mesure générale-intensité moyenne (A)
7 févr. 2024 11:01:59 CET,"90,0"
7 févr. 2024 11:02:14 CET,"87,9"
7 févr. 2024 11:02:29 CET,"84,4"
7 févr. 2024 11:02:44 CET,"84,7"
7 févr. 2024 11:02:59 CET,"88,8"
7 févr. 2024 11:03:15 CET,"86,8"
7 févr. 2024 11:03:30 CET,"87,4"
7 févr. 2024 11:03:45 CET,"91,1"
7 févr. 2024 11:04:00 CET,"94,3"
7 févr. 2024 11:04:15 CET,"94,7"
7 févr. 2024 11:04:30 CET,"92,8"
7 févr. 2024 11:04:45 CET,"90,9"
7 févr. 2024 11:05:00 CET,"88,2"
7 févr. 2024 11:05:15 CET,"95,8"
7 févr. 2024 11:05:30 CET,"91,4"
7 févr. 2024 11:05:45 CET,"89,1"
7 févr. 2024 11:06:00 CET,"93,5"
7 févr. 2024 11:06:15 CET,"96,0"
7 févr. 2024 11:06:30 CET,"93,2"
7 févr. 2024 11:06:45 CET,"96,9"
7 févr. 2024 11:07:01 CET,"90,1"
7 févr. 2024 11:07:16 CET,"91,9"
7 févr. 2024 11:07:31 CET,"97,7"
7 févr. 2024 11:07:46 CET,"95,6"
7 févr. 2024 11:08:01 CET,"94,8"
7 févr. 2024 11:08:16 CET,"96,6"
7 févr. 2024 11:08:31 CET,"99,0"
7 févr. 2024 11:08:46 CET,"93,0"
7 févr. 2024 11:09:16 CET,"94,5"
