Timestamp,ENSEM_ENSAIA/Centrale mesure générale-energie active totale (kW-hr)
7 févr. 2024 10:09:13 CET,"71663,4"
7 févr. 2024 10:09:28 CET,"71663,7"
7 févr. 2024 10:09:43 CET,"71663,9"
7 févr. 2024 10:09:58 CET,"71664,1"
7 févr. 2024 10:10:13 CET,"71664,4"
7 févr. 2024 10:10:28 CET,"71664,6"
7 févr. 2024 10:10:43 CET,"71664,8"
7 févr. 2024 10:10:58 CET,"71665,1"
7 févr. 2024 10:11:13 CET,"71665,3"
7 févr. 2024 10:11:28 CET,"71665,5"
7 févr. 2024 10:11:44 CET,"71665,8"
7 févr. 2024 10:11:59 CET,"71666,0"
7 févr. 2024 10:12:14 CET,"71666,3"
7 févr. 2024 10:12:29 CET,"71666,5"
7 févr. 2024 10:12:44 CET,"71666,8"
7 févr. 2024 10:12:59 CET,"71667,0"
7 févr. 2024 10:13:14 CET,"71667,2"
7 févr. 2024 10:13:29 CET,"71667,4"
7 févr. 2024 10:13:44 CET,"71667,7"
7 févr. 2024 10:13:59 CET,"71667,9"
7 févr. 2024 10:14:14 CET,"71668,1"
7 févr. 2024 10:14:29 CET,"71668,3"
7 févr. 2024 10:14:44 CET,"71668,5"
7 févr. 2024 10:14:59 CET,"71668,8"
7 févr. 2024 10:15:17 CET,"71669,0"
7 févr. 2024 10:15:30 CET,"71669,2"
7 févr. 2024 10:15:45 CET,"71669,5"
7 févr. 2024 10:16:00 CET,"71669,7"
7 févr. 2024 10:16:15 CET,"71669,9"
7 févr. 2024 10:16:30 CET,"71670,1"
7 févr. 2024 10:16:45 CET,"71670,3"
7 févr. 2024 10:17:00 CET,"71670,6"
7 févr. 2024 10:17:15 CET,"71670,8"
7 févr. 2024 10:17:30 CET,"71671,0"
7 févr. 2024 10:17:45 CET,"71671,2"
7 févr. 2024 10:18:00 CET,"71671,5"
7 févr. 2024 10:18:16 CET,"71671,7"
7 févr. 2024 10:18:31 CET,"71671,9"
7 févr. 2024 10:18:46 CET,"71672,1"
7 févr. 2024 10:19:01 CET,"71672,4"
7 févr. 2024 10:19:16 CET,"71672,6"
7 févr. 2024 10:19:31 CET,"71672,8"
7 févr. 2024 10:19:46 CET,"71673,1"
7 févr. 2024 10:20:01 CET,"71673,3"
7 févr. 2024 10:20:16 CET,"71673,5"
7 févr. 2024 10:20:31 CET,"71673,7"
7 févr. 2024 10:20:46 CET,"71674,0"
7 févr. 2024 10:21:01 CET,"71674,2"
7 févr. 2024 10:21:16 CET,"71674,4"
7 févr. 2024 10:21:31 CET,"71674,6"
7 févr. 2024 10:21:46 CET,"71674,8"
7 févr. 2024 10:22:01 CET,"71675,1"
7 févr. 2024 10:22:16 CET,"71675,3"
